cluster_id,source_task_id,split,scenario,difficulty,missing_fact_kind,removed_values,canonical_instruction,official_alias,missing_instruction,restored_instruction,resource_conflict_summary,automatic_validation,reviewer_id,review_status,canonical_valid,alias_valid,missing_valid,restored_valid,conflict_valid,exclusion_reason,reviewer_notes
cluster:42227e25,42227e25,train,area_assignment_and_patrol,hard,explicit_drone_identity,Drone 9,"Drone Drone 9 takes off to 15 meters, flies to checkpoint at (596, 395, 15), and hovers briefly.","Send Drone 9 to verify checkpoint location: lift off to 15 meters, fly to position (596, 395, 15), then hover briefly.","Assigned UAV A takes off to 15 meters, flies to checkpoint at (596, 395, 15), and hovers briefly.","Assigned UAV A (Drone 9) takes off to 15 meters, flies to checkpoint at (596, 395, 15), and hovers briefly.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:44d4414d,44d4414d,train,target_assignment,moderate,explicit_drone_identity,Drone 9 | Drone 11,"Drones Drone 9 and Drone 11 perform a dual marathon flight at 28 meters. Drone 9 route: fly to and start at (91, 74, 28), then waypoints (198, 218, 28), (916, 213, 28), (127, 352, 28), (778, 401, 28), (103, 506, 28), (856, 598, 28), (121, 694, 28), (835, 699, 28), (268, 875, 28), (667, 875, 28), then end (914, 886, 28) and land. Drone 11 route: fly to and start at  (957, 109, 28), then waypoints (927, 145, 28), (202, 250, 28), (885, 304, 28), (143, 413, 28), (822, 551, 28), (88, 551, 28), (865, 638, 28), (187, 688, 28), (708, 896, 28), (414, 920, 28), then end (76, 947, 28) and land.","Dual marathon routes at 28m: Drone 9 fly to and start at  (91,74) -> (198,218) -> (916,213) -> (127,352) -> (778,401) -> (103,506) -> (856,598) -> (121,694) -> (835,699) -> (268,875) -> (667,875) -> end (914,886); Drone 11 fly to and start at (957,109) -> (927,145) -> (202,250) -> (885,304) -> (143,413) -> (822,551) -> (88,551) -> (865,638) -> (187,688) -> (708,896) -> (414,920) -> end (76,947); both drones land.","Assigned UAV A and Assigned UAV B perform a dual marathon flight at 28 meters. Assigned UAV A route: fly to and start at (91, 74, 28), then waypoints (198, 218, 28), (916, 213, 28), (127, 352, 28), (778, 401, 28), (103, 506, 28), (856, 598, 28), (121, 694, 28), (835, 699, 28), (268, 875, 28), (667, 875, 28), then end (914, 886, 28) and land. Assigned UAV B route: fly to and start at (957, 109, 28), then waypoints (927, 145, 28), (202, 250, 28), (885, 304, 28), (143, 413, 28), (822, 551, 28), (88, 551, 28), (865, 638, 28), (187, 688, 28), (708, 896, 28), (414, 920, 28), then end (76, 947, 28) and land.","Assigned UAV A (Drone 9) and Assigned UAV B (Drone 11) perform a dual marathon flight at 28 meters. Assigned UAV A (Drone 9) route: fly to and start at (91, 74, 28), then waypoints (198, 218, 28), (916, 213, 28), (127, 352, 28), (778, 401, 28), (103, 506, 28), (856, 598, 28), (121, 694, 28), (835, 699, 28), (268, 875, 28), (667, 875, 28), then end (914, 886, 28) and land. Assigned UAV B (Drone 11) route: fly to and start at (957, 109, 28), then waypoints (927, 145, 28), (202, 250, 28), (885, 304, 28), (143, 413, 28), (822, 551, 28), (88, 551, 28), (865, 638, 28), (187, 688, 28), (708, 896, 28), (414, 920, 28), then end (76, 947, 28) and land.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:460338f1,460338f1,train,area_assignment_and_patrol,extreme,explicit_drone_identity,Drone 5,"Communication relay mission: Drone Drone 5 acts as communication relay. Take off to 21 meters, position at relay point (414, 638, 21). Send broadcast messages to coordinate with other drones. Send at least 4 messages total during the mission.","Deploy Drone 5 as a message hub: fly to 414,638 at 21m and transmit at least 4 broadcasts.","Communication relay mission: Assigned UAV A acts as communication relay. Take off to 21 meters, position at relay point (414, 638, 21). Send broadcast messages to coordinate with other drones. Send at least 4 messages total during the mission.","Communication relay mission: Assigned UAV A (Drone 5) acts as communication relay. Take off to 21 meters, position at relay point (414, 638, 21). Send broadcast messages to coordinate with other drones. Send at least 4 messages total during the mission.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:5938d8c1,5938d8c1,train,area_assignment_and_patrol,easy,explicit_drone_identity,Drone 5,"Drone Drone 5 executes delivery route: take off to 18 meters, fly to waypoint 1 at (367, 231, 18) and land to deliver. Then take off, fly to waypoint 2 at (682, 325, 18) and land. Finally take off, fly to waypoint 3 at (687, 483, 18) and land to complete the mission.","Drone 5 multi-stop delivery: visit and land at (367,231), then (682,325), then (687,483).","Assigned UAV A executes delivery route: take off to 18 meters, fly to waypoint 1 at (367, 231, 18) and land to deliver. Then take off, fly to waypoint 2 at (682, 325, 18) and land. Finally take off, fly to waypoint 3 at (687, 483, 18) and land to complete the mission.","Assigned UAV A (Drone 5) executes delivery route: take off to 18 meters, fly to waypoint 1 at (367, 231, 18) and land to deliver. Then take off, fly to waypoint 2 at (682, 325, 18) and land. Finally take off, fly to waypoint 3 at (687, 483, 18) and land to complete the mission.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:5beac61a,5beac61a,train,area_search,hard,explicit_drone_identity,Drone 10,Drone 10 executes comprehensive area search of Polygon Target 5. Take off to 24 meters and perform a systematic coverage pattern to search at least 95% of the target area using an efficient pattern.,Drone 10 mission: scan Polygon Target 5 completely (95%+) using an efficient pattern at 24 meters,Assigned UAV A executes comprehensive area search of Polygon Target 5. Take off to 24 meters and perform a systematic coverage pattern to search at least 95% of the target area using an efficient pattern.,Assigned UAV A (Drone 10) executes comprehensive area search of Polygon Target 5. Take off to 24 meters and perform a systematic coverage pattern to search at least 95% of the target area using an efficient pattern.,required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:6b09f27c,6b09f27c,train,area_assignment_and_patrol,moderate,explicit_drone_identity,Drone 7,"Drone Drone 7 performs photo documentation mission: take off to 18 meters, visit three waypoints at (176, 213, 18), (436, 522, 18), and (673, 883, 18). At each waypoint, take a photo.","Drone 7 needs to capture photos at three locations: (176, 213), (436, 522), and (673, 883) at 18m altitude.","Assigned UAV A performs photo documentation mission: take off to 18 meters, visit three waypoints at (176, 213, 18), (436, 522, 18), and (673, 883, 18). At each waypoint, take a photo.","Assigned UAV A (Drone 7) performs photo documentation mission: take off to 18 meters, visit three waypoints at (176, 213, 18), (436, 522, 18), and (673, 883, 18). At each waypoint, take a photo.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:738ab719,738ab719,train,area_assignment_and_patrol,hard,explicit_drone_identity,Drone 14,"Drone Drone 14 comprehensive area coverage mission: take off to 20 meters altitude, perform systematic coverage of target area Polygon Target 3 to achieve at least 99% area coverage. Use efficient search pattern (grid, spiral, or serpentine). Take at least 3 photos periodically for documentation. Continue coverage until 99% threshold is met or exceeded.",Command Drone 14 to achieve 99% search coverage of Polygon Target 3 at 20m with at least 3 periodic photos,"Assigned UAV A comprehensive area coverage mission: take off to 20 meters altitude, perform systematic coverage of target area Polygon Target 3 to achieve at least 99% area coverage. Use efficient search pattern (grid, spiral, or serpentine). Take at least 3 photos periodically for documentation. Continue coverage until 99% threshold is met or exceeded.","Assigned UAV A (Drone 14) comprehensive area coverage mission: take off to 20 meters altitude, perform systematic coverage of target area Polygon Target 3 to achieve at least 99% area coverage. Use efficient search pattern (grid, spiral, or serpentine). Take at least 3 photos periodically for documentation. Continue coverage until 99% threshold is met or exceeded.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:7aa2c275,7aa2c275,train,target_assignment,extreme,explicit_drone_identity,Drone 13,"Drone Drone 13 must take off to 18 meters, navigate to target Fixed Target 62, and take a photo.",Drone 13 reconnaissance task: find and photograph Fixed Target 62,"Assigned UAV A must take off to 18 meters, navigate to target Fixed Target 62, and take a photo.","Assigned UAV A (Drone 13) must take off to 18 meters, navigate to target Fixed Target 62, and take a photo.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:8c6c59a4,8c6c59a4,train,target_assignment,extreme,explicit_drone_identity,Drone 1 | Drone 9,"Survey mission: Drone Drone 1 surveys target Fixed Target 30 while drone Drone 9 surveys target Fixed Target 37. Both drones take off to 21 meters, fly to their respective targets, hover and capture photos.",Split reconnaissance at 21m: Drone 1 heads to Fixed Target 30 and hovers for photos while Drone 9 heads to Fixed Target 37 and does the same.,"Survey mission: Assigned UAV A surveys target Fixed Target 30 while assigned UAV B surveys target Fixed Target 37. Both drones take off to 21 meters, fly to their respective targets, hover and capture photos.","Survey mission: Assigned UAV A (Drone 1) surveys target Fixed Target 30 while assigned UAV B (Drone 9) surveys target Fixed Target 37. Both drones take off to 21 meters, fly to their respective targets, hover and capture photos.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:91130026,91130026,train,area_search,moderate,coverage_threshold,95%,"Use any available drone or drones to execute comprehensive area coverage searches of Polygon Target 3 and Circle Target 2. Cover both target areas with efficient grid, spiral, or serpentine patterns until each target reaches at least 95% area coverage.","Search Polygon Target 3 and Circle Target 2 without assigning specific drones, ensuring at least 95% area coverage for each target.","Use any available drone or drones to execute comprehensive area coverage searches of Polygon Target 3 and Circle Target 2. Cover both target areas with efficient grid, spiral, or serpentine patterns until each target reaches the required level of area coverage.","Use any available drone or drones to execute comprehensive area coverage searches of Polygon Target 3 and Circle Target 2. Cover both target areas with efficient grid, spiral, or serpentine patterns until each target reaches the required level of area coverage (95%).",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:9b355a03,9b355a03,train,area_search,hard,explicit_drone_identity,Drone 4 | Drone 8 | Drone 10,"Drones Drone 4, Drone 8, and Drone 10 should take off to 19 meters altitude and form a triangle formation around target at position (483, 553, 19). Drone 4 positions at (483, 483, 19), Drone 8 at (491, 640, 19), and Drone 10 at (545, 413, 19). After formation is established, all drones maintain hovering.","Form a three-point hover after takeoff to 19m around target (483, 553, 19): Drone 4 at (483,483,19), Drone 8 at (491,640,19), Drone 10 at (545,413,19), then hover.","Assigned UAV A, Assigned UAV B, and Assigned UAV C should take off to 19 meters altitude and form a triangle formation around target at position (483, 553, 19). Assigned UAV A positions at (483, 483, 19), Assigned UAV B at (491, 640, 19), and Assigned UAV C at (545, 413, 19). After formation is established, all drones maintain hovering.","Assigned UAV A (Drone 4), Assigned UAV B (Drone 8), and Assigned UAV C (Drone 10) should take off to 19 meters altitude and form a triangle formation around target at position (483, 553, 19). Assigned UAV A (Drone 4) positions at (483, 483, 19), Assigned UAV B (Drone 8) at (491, 640, 19), and Assigned UAV C (Drone 10) at (545, 413, 19). After formation is established, all drones maintain hovering.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:a3c70a3f,a3c70a3f,train,area_search,intermediate,explicit_drone_identity,Drone 4,"Drone Drone 4 performs extended distance flight test: take off to 19 meters, fly a route that covers at least 1087 meters total distance. The route should include waypoints at (378, 218, 19), (859, 241, 19), (828, 723, 19), and (216, 759, 19). After completing the distance requirement, the mission concludes.","Test Drone 4 endurance: fly at least 1087 meters at 19m altitude, visiting (378,218), (859,241), (828,723), and (216,759).","Assigned UAV A performs extended distance flight test: take off to 19 meters, fly a route that covers at least 1087 meters total distance. The route should include waypoints at (378, 218, 19), (859, 241, 19), (828, 723, 19), and (216, 759, 19). After completing the distance requirement, the mission concludes.","Assigned UAV A (Drone 4) performs extended distance flight test: take off to 19 meters, fly a route that covers at least 1087 meters total distance. The route should include waypoints at (378, 218, 19), (859, 241, 19), (828, 723, 19), and (216, 759, 19). After completing the distance requirement, the mission concludes.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:aa0b92a2,aa0b92a2,train,target_assignment,intermediate,explicit_drone_identity,Drone 9,"Drone Drone 9 performs a marathon flight. Take off to 26 meters, fly to start point (156, 174, 26), then navigate through 10 waypoints: (214, 155, 26), (328, 240, 26), (465, 336, 26), (533, 496, 26), (609, 504, 26), (742, 661, 26), (830, 795, 26), (931, 889, 26), (854, 169, 26), (156, 815, 26). Avoid obstacles Ellipse Obstacle 1, Circle Obstacle 3. Finally, fly to end point (529, 541, 26) and land.","Drone 9 marathon flight: navigate 10 distinct waypoints (214,155) through (156,815) at 26m, from start (156,174) to final landing at (529,541).","Assigned UAV A performs a marathon flight. Take off to 26 meters, fly to start point (156, 174, 26), then navigate through 10 waypoints: (214, 155, 26), (328, 240, 26), (465, 336, 26), (533, 496, 26), (609, 504, 26), (742, 661, 26), (830, 795, 26), (931, 889, 26), (854, 169, 26), (156, 815, 26). Avoid obstacles Ellipse Obstacle 1, Circle Obstacle 3. Finally, fly to end point (529, 541, 26) and land.","Assigned UAV A (Drone 9) performs a marathon flight. Take off to 26 meters, fly to start point (156, 174, 26), then navigate through 10 waypoints: (214, 155, 26), (328, 240, 26), (465, 336, 26), (533, 496, 26), (609, 504, 26), (742, 661, 26), (830, 795, 26), (931, 889, 26), (854, 169, 26), (156, 815, 26). Avoid obstacles Ellipse Obstacle 1, Circle Obstacle 3. Finally, fly to end point (529, 541, 26) and land.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:be1e9b29,be1e9b29,train,target_assignment,easy,explicit_drone_identity,Drone 1 | Drone 5,"Drones Drone 1 and Drone 5 perform a dual marathon flight at 20 meters. Drone 1 route: fly to and start at (65, 62, 20), then waypoints (131, 186, 20), (868, 217, 20), (140, 328, 20), (856, 380, 20), (84, 529, 20), (951, 543, 20), (153, 651, 20), (818, 739, 20), (345, 772, 20), (770, 857, 20), then end (936, 886, 20) and land. Drone 5 route: fly to and start at  (928, 52, 20), then waypoints (916, 125, 20), (203, 166, 20), (853, 324, 20), (188, 363, 20), (858, 476, 20), (200, 596, 20), (865, 686, 20), (122, 718, 20), (811, 803, 20), (316, 937, 20), then end (138, 941, 20) and land.","Dual marathon routes at 20m: Drone 1 fly to and start at  (65,62) -> (131,186) -> (868,217) -> (140,328) -> (856,380) -> (84,529) -> (951,543) -> (153,651) -> (818,739) -> (345,772) -> (770,857) -> end (936,886); Drone 5 fly to and start at (928,52) -> (916,125) -> (203,166) -> (853,324) -> (188,363) -> (858,476) -> (200,596) -> (865,686) -> (122,718) -> (811,803) -> (316,937) -> end (138,941); both drones land.","Assigned UAV A and Assigned UAV B perform a dual marathon flight at 20 meters. Assigned UAV A route: fly to and start at (65, 62, 20), then waypoints (131, 186, 20), (868, 217, 20), (140, 328, 20), (856, 380, 20), (84, 529, 20), (951, 543, 20), (153, 651, 20), (818, 739, 20), (345, 772, 20), (770, 857, 20), then end (936, 886, 20) and land. Assigned UAV B route: fly to and start at (928, 52, 20), then waypoints (916, 125, 20), (203, 166, 20), (853, 324, 20), (188, 363, 20), (858, 476, 20), (200, 596, 20), (865, 686, 20), (122, 718, 20), (811, 803, 20), (316, 937, 20), then end (138, 941, 20) and land.","Assigned UAV A (Drone 1) and Assigned UAV B (Drone 5) perform a dual marathon flight at 20 meters. Assigned UAV A (Drone 1) route: fly to and start at (65, 62, 20), then waypoints (131, 186, 20), (868, 217, 20), (140, 328, 20), (856, 380, 20), (84, 529, 20), (951, 543, 20), (153, 651, 20), (818, 739, 20), (345, 772, 20), (770, 857, 20), then end (936, 886, 20) and land. Assigned UAV B (Drone 5) route: fly to and start at (928, 52, 20), then waypoints (916, 125, 20), (203, 166, 20), (853, 324, 20), (188, 363, 20), (858, 476, 20), (200, 596, 20), (865, 686, 20), (122, 718, 20), (811, 803, 20), (316, 937, 20), then end (138, 941, 20) and land.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
