analysis_id,repetition,model_id,model_label,contrast_role,contrast_label,method_a,method_b,metric_id,metric_label,unit,direction,inference_status,point_estimate,ci_lower,ci_upper,confidence_level,cluster_count,bootstrap_draws
r1:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:process_ram_peak_bytes,1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,process_ram_peak_bytes,Process RAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-28028982.61333333,-29954134.015999995,-26192859.81866668,0.95,30,10000
r1:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:board_vram_peak_bytes,1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1768150794.2400005,1722612536.6613338,1809424842.7520008,0.95,30,10000
r1:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:process_vram_peak_bytes,1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1768150794.2400005,1722612536.6613338,1809424842.7520008,0.95,30,10000
r1:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:gpu_board_energy_joules,1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,gpu_board_energy_joules,GPU-board energy (J),joules,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-1153.2261933333332,-1652.4520363333331,-649.6978660000002,0.95,30,10000
r2:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:method_case_duration_seconds,2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,method_case_duration_seconds,Duration (s),seconds,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,8.856139005053459,7.775452120152761,10.022271643663945,0.95,30,10000
r2:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:input_tokens,2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,input_tokens,Input tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,3297.68,2856.930166666667,3778.4883333333332,0.95,30,10000
r2:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:output_tokens,2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,output_tokens,Output tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,260.65333333333336,223.55983333333336,299.88,0.95,30,10000
r2:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:model_call_count,2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,model_call_count,Model calls,calls,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1.0,1.0,1.0,0.95,30,10000
r2:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:process_ram_peak_bytes,2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,process_ram_peak_bytes,Process RAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,3724083.199999984,1008119.1253333167,6396594.176000023,0.95,30,10000
r2:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:board_vram_peak_bytes,2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1554241290.24,1506956454.5706666,1600993798.8266666,0.95,30,10000
r2:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:process_vram_peak_bytes,2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1554241290.24,1506956454.5706666,1600993798.8266666,0.95,30,10000
r2:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:gpu_board_energy_joules,2,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,gpu_board_energy_joules,GPU-board energy (J),joules,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1565.2682666666667,1373.0486536666667,1769.13564,0.95,30,10000
r2:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:method_case_duration_seconds,2,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,method_case_duration_seconds,Duration (s),seconds,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-6.700753811712785,-9.401264313894725,-4.006849174767799,0.95,30,10000
r2:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:input_tokens,2,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,input_tokens,Input tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,3155.9733333333334,2720.1910000000003,3628.019333333333,0.95,30,10000
r2:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:output_tokens,2,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,output_tokens,Output tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-125.7,-163.3475,-87.99633333333338,0.95,30,10000
r2:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:model_call_count,2,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,model_call_count,Model calls,calls,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1.0,1.0,1.0,0.95,30,10000
r2:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:process_ram_peak_bytes,2,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,process_ram_peak_bytes,Process RAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-29659054.079999957,-31860070.399999935,-27390334.293333292,0.95,30,10000
r2:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:board_vram_peak_bytes,2,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,2650897995.0933337,2549799540.0533333,2759335783.0826674,0.95,30,10000
r2:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:process_vram_peak_bytes,2,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,2650897995.0933337,2549799540.0533333,2759335783.0826674,0.95,30,10000
r2:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:gpu_board_energy_joules,2,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,gpu_board_energy_joules,GPU-board energy (J),joules,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-1205.8638199999998,-1689.7148456666666,-723.9200495000002,0.95,30,10000
r3:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:method_case_duration_seconds,3,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,method_case_duration_seconds,Duration (s),seconds,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,9.042618264020614,7.976351146946672,10.190511221839408,0.95,30,10000
r3:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:input_tokens,3,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,input_tokens,Input tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,3297.68,2856.930166666667,3778.4883333333332,0.95,30,10000
r3:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:output_tokens,3,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,output_tokens,Output tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,260.65333333333336,223.55983333333336,299.88,0.95,30,10000
r3:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:model_call_count,3,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,model_call_count,Model calls,calls,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1.0,1.0,1.0,0.95,30,10000
r3:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:process_ram_peak_bytes,3,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,process_ram_peak_bytes,Process RAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,6367778.133333325,3947526.1439999808,8789750.442666644,0.95,30,10000
r3:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:board_vram_peak_bytes,3,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,409671652.6933332,367797119.65866655,451057549.3119999,0.95,30,10000
r3:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:process_vram_peak_bytes,3,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,409671652.6933333,367797119.6586667,451057549.31200004,0.95,30,10000
r3:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:gpu_board_energy_joules,3,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,gpu_board_energy_joules,GPU-board energy (J),joules,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1598.0213333333334,1393.5023765,1815.148901166667,0.95,30,10000
r3:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:method_case_duration_seconds,3,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,method_case_duration_seconds,Duration (s),seconds,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-6.818024196954114,-9.511137051656446,-4.039060368116523,0.95,30,10000
r3:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:input_tokens,3,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,input_tokens,Input tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,3155.9733333333334,2720.1910000000003,3628.019333333333,0.95,30,10000
r3:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:output_tokens,3,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,output_tokens,Output tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-125.7,-163.3475,-87.99633333333338,0.95,30,10000
r3:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:model_call_count,3,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,model_call_count,Model calls,calls,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1.0,1.0,1.0,0.95,30,10000
r3:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:process_ram_peak_bytes,3,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,process_ram_peak_bytes,Process RAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-3524990.293333308,-5239242.751999944,-1936396.9706666647,0.95,30,10000
r3:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:board_vram_peak_bytes,3,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1309196069.5466669,1266035982.336001,1346819675.4773335,0.95,30,10000
r3:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:process_vram_peak_bytes,3,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1309196069.5466669,1266035982.336001,1346819675.4773335,0.95,30,10000
r3:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:gpu_board_energy_joules,3,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,gpu_board_energy_joules,GPU-board energy (J),joules,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-1244.8911466666664,-1735.6558549999997,-746.9498663333331,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M4_post_plan_compute_matched:method_case_duration_seconds,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_confirmatory_method_contrast_secondary_resource_outcome,M3 minus M4,M3_stage_wise,M4_post_plan_compute_matched,method_case_duration_seconds,Duration (s),seconds,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1.7634741421470248,0.49052167740881036,3.0983786079046043,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M4_post_plan_compute_matched:input_tokens,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_confirmatory_method_contrast_secondary_resource_outcome,M3 minus M4,M3_stage_wise,M4_post_plan_compute_matched,input_tokens,Input tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,179.58666666666667,139.4861666666667,218.6001666666666,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M4_post_plan_compute_matched:output_tokens,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_confirmatory_method_contrast_secondary_resource_outcome,M3 minus M4,M3_stage_wise,M4_post_plan_compute_matched,output_tokens,Output tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,21.680000000000003,-22.92166666666665,68.7735,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M4_post_plan_compute_matched:model_call_count,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_confirmatory_method_contrast_secondary_resource_outcome,M3 minus M4,M3_stage_wise,M4_post_plan_compute_matched,model_call_count,Model calls,calls,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,0.0,0.0,0.0,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M4_post_plan_compute_matched:process_ram_peak_bytes,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_confirmatory_method_contrast_secondary_resource_outcome,M3 minus M4,M3_stage_wise,M4_post_plan_compute_matched,process_ram_peak_bytes,Process RAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,22652081.493333373,21083546.282666717,24166688.768000018,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M4_post_plan_compute_matched:board_vram_peak_bytes,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_confirmatory_method_contrast_secondary_resource_outcome,M3 minus M4,M3_stage_wise,M4_post_plan_compute_matched,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,504574771.2000001,472179015.6800002,535808704.51200026,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M4_post_plan_compute_matched:process_vram_peak_bytes,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_confirmatory_method_contrast_secondary_resource_outcome,M3 minus M4,M3_stage_wise,M4_post_plan_compute_matched,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,504574771.2000001,472179015.6800002,535808704.51200026,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M4_post_plan_compute_matched:gpu_board_energy_joules,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_confirmatory_method_contrast_secondary_resource_outcome,M3 minus M4,M3_stage_wise,M4_post_plan_compute_matched,gpu_board_energy_joules,GPU-board energy (J),joules,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,284.7060066666667,56.15384433333341,525.5793123333333,0.95,30,10000
r1:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M4_post_plan_compute_matched:method_case_duration_seconds,1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_confirmatory_method_contrast_secondary_resource_outcome,M3 minus M4,M3_stage_wise,M4_post_plan_compute_matched,method_case_duration_seconds,Duration (s),seconds,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-35.98797129502632,-42.29894629127557,-29.873551132506826,0.95,30,10000
r1:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M4_post_plan_compute_matched:input_tokens,1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_confirmatory_method_contrast_secondary_resource_outcome,M3 minus M4,M3_stage_wise,M4_post_plan_compute_matched,input_tokens,Input tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-72.1733333333333,-116.92833333333326,-28.846666666666625,0.95,30,10000
r1:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M4_post_plan_compute_matched:output_tokens,1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_confirmatory_method_contrast_secondary_resource_outcome,M3 minus M4,M3_stage_wise,M4_post_plan_compute_matched,output_tokens,Output tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-446.8066666666667,-522.2036666666667,-373.2048333333334,0.95,30,10000
r1:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M4_post_plan_compute_matched:model_call_count,1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_confirmatory_method_contrast_secondary_resource_outcome,M3 minus M4,M3_stage_wise,M4_post_plan_compute_matched,model_call_count,Model calls,calls,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,0.0,0.0,0.0,0.95,30,10000
